county,sub_county,constituency,ward,community_unit_name,community_unit_code,chu_status,linked_facility_name,date_established_excel,source
TURKANA,Kibish,Turkana North,Kibish,Liwan Community Health Unit,700187,semi-functional,Meyan Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Meyan Community Health Unit,700186,semi-functional,Meyan Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Nayook Community Health Unit,700185,Fully-functional,Kaikor Health Centre,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Edoot Community Health Unit,700184,Fully-functional,Kokuro Health Centre,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Kapedo/Napeitom,Kamuge Community Health Unit,700183,non-functinoal,Kamuge Dispensary,42614,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lakezone,Todonyang Community Health Unit,700182,semi-functional,Todonyang Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Kapedo/Napeitom,Lomelo Community Health Unit,700181,semi-functional,Lomelo Dispensary,42583,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Katilia,Lopeduru Community Health Unit,700180,Fully-functional,Lopedur Dispensary,42583,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Kapedo/Napeitom,Napeitom Community Health Unit,700179,Fully-functional,Napeitom Dispensary,42583,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Toiunae Community Health Unit,700178,Fully-functional,Karebur Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Lokichar,Locheremoit Community Health Unit,700162,Fully-functional,Locheremoit Dispensary,41739,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Kalapata,Kangakipur Community Health Unit,700161,Fully-functional,Kangakipur Dispensary,41958,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Kaputir,Juluk Community Health Unit,700160,Fully-functional,Juluk Dispensary,41776,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Lokichar,Napusimoru Community Health Unit,700159,Fully-functional,Napusimoru Dispensary,42041,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Lokichar,Lokichar Community Health Unit,700156,Fully-functional,Lokichar (RCEA) Health Centre,41702,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Lobokat,Kaakong Community Health Unit,700155,Fully-functional,Kaakong'u Dispensary,42288,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Katilu,Kanaodon Community Health Unit,700154,Fully-functional,Kanaodon Dispensary,42200,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Turkwel,Nasiger Community Health Unit,700153,Fully-functional,Nasiger Dispensary,41884,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Turkwel,Napeililim Community Health Unit,700152,Fully-functional,Napeililim Dispensary,41883,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Lokiriama/Lorengippi,Lorengippi Community Health Unit,700151,Fully-functional,Lorengippi Dispensary,41519,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Turkwel,Nadapal Community Health Unit,700150,Fully-functional,Nadapal Dispensary,41155,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Turkwel,Lorugum Sub County Hospital Community Health Unit,700149,Fully-functional,Lorugum Health Centre,42248,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Loima,Lobei Community Health Unit,700148,Fully-functional,Lochoredome Dispensary (Loima),41519,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kalobeyei,Timu Community Health Unit,700147,Fully-functional,Kalobeyei Dispensary,41223,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Lokichoggio,Loremet Community Health Unit,700146,Fully-functional,Nakururum Dispensary,42419,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Songot,Lokangae Community Health Unit,700145,Fully-functional,Lokangae Health Centre,41223,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Nanaam,Nameyan Community Health Unit,700144,Fully-functional,Nanam Dispensary,42496,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Lokichoggio,Ngapetan 1 Community Health Unit,700143,Fully-functional,Lokichogio (AIC) Health Centre,41835,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Lokichoggio,Ngapetan 2 Community Health Unit,700142,Fully-functional,Lokichogio (AIC) Health Centre,41840,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kakuma,Morungole 2 Community Health Unit,700141,Fully-functional,Kakuma Mission Hospital,42482,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kalobeyei,Lomunyanakrionok Community Health Unit,700140,semi-functional,Natira Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kalobeyei,Namortotio Community Health Unit,700139,Fully-functional,Natira Dispensary,41192,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Songot,Lopwarin Community Health Unit,700138,Fully-functional,Aposta Dispensary,41275,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Songot,Songot Community Health Unit,700137,Fully-functional,Aposta Dispensary,41275,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Songot,Napeikar Community Health Unit,700136,Fully-functional,Aposta Dispensary,41275,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kakuma,Morungole 1 Community Health Unit,700135,Fully-functional,Kakuma Mission Hospital,41223,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Nanaam,Ngadakarin Asegis Community Health Unit,700134,Fully-functional,Nanam Dispensary,41346,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Letea,Lorengesinyen Community Health Unit,700133,Fully-functional,Letea Dispensary,41592,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Nanaam,Aochole Community Health Unit,700132,Fully-functional,Lopiding Sub County Hospital,42064,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Nanaam,Mogila Community Health Unit,700131,Fully-functional,Lopiding Sub County Hospital,42576,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Lokichoggio,Nakasegan Community Health Unit,700130,Fully-functional,Nakururum Dispensary,42327,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Naita Community Health Unit,700124,Fully-functional,Koyasa Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Kichubi Community Health Unit,700123,Fully-functional,Koyasa Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Kachuromongin Community Health Unit,700122,Fully-functional,Lokamarinyang Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Naitese Community Health Unit,700121,Fully-functional,Kibish GK Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Sasame Community Health Unit,700120,Fully-functional,Karebur Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Nabulkok Community Health Unit,700119,Fully-functional,Karebur Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Kaaleng/Kaikor,Kaalem Community Health Unit,700101,Fully-functional,Kaalem Dispensary,42603,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Kaeris,Kaeris Community Health Unit,700100,Fully-functional,Kaeris Dispensary,41129,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Kaaleng/Kaikor,Kaaleng Community Health Unit,700099,Fully-functional,Kaaleng Health Centre,39662,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lakezone,Kataboi Community Health Unit,700098,Fully-functional,Kataboi Dispensary,41509,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lakezone,Nariokotome Community Health Unit,700097,Fully-functional,Nariokotome Dispensary,41852,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lakezone,Lowarengak Community Health Unit,700096,Fully-functional,Lowarengak Health Centre,41133,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lapur,Lokitaung Community Health Unit,700095,Fully-functional,Lokitaung Sub County Hospital,41507,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Lokori/Kochodin,Kochodin Community Health Unit,700085,semi-functional,Lokwamosing Dispensary,42536,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Lokori/Kochodin,Lopii Community Health Unit,700084,Fully-functional,Lopii Dispensary,42536,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Lokori/Kochodin,Lokwii Community Health Unit,700083,Fully-functional,Lokwii Health Center,41075,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Lokori/Kochodin,Lochakula Community Health Unit,700082,semi-functional,Lokori Primary Health Care Programme,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Lokori/Kochodin,Lokwamosing Community Health Unit,700081,Fully-functional,Lokwamosing Dispensary,41075,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Katilia,Katilia Community Health Unit,700080,Fully-functional,Katilia Dispensary,42536,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Lokori/Kochodin,Lotubae Community Health Unit,700079,Fully-functional,Lotubae (AIC) Dispensary,42412,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Lokori/Kochodin,Nakukulas Community Health Unit,700078,Fully-functional,Nakukulas Dispensary,40344,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Lokori/Kochodin,Lokori Community Health Unit,700077,Fully-functional,Lokori (AIC) Health Centre,41136,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Lokori/Kochodin,Morulem Community Health Unit,700076,Fully-functional,Morulem Dispensary,42522,KMHFR via openAFRICA (2020 extract)
ISIOLO,Isiolo,Isiolo North,Ngare Mara,Ngaremara Community Health Unit,602466,semi-functional,Ngaremara Dispensary,41306,KMHFR via openAFRICA (2020 extract)
ISIOLO,Isiolo,Isiolo North,Burat,Ack Community Health Unit,602380,semi-functional,ACK Dispensary (Isiolo),41030,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Kaeris,Kanakurudio Community Health Unit,602896,Fully-functional,Kanakurudio Health Centre,41122,KMHFR via openAFRICA (2020 extract)
ISIOLO,Isiolo,Isiolo North,Burat,Tupendane Community Health Unit,602412,semi-functional,Tupendane Dispensary,40664,KMHFR via openAFRICA (2020 extract)
ISIOLO,Merti,Isiolo North,Cherab,Baasa Community Health Unit,602079,non-functinoal,Merti Health Centre,41000,KMHFR via openAFRICA (2020 extract)
WEST POKOT,Pokot South,Pokot South,Batei,Morpus Community Health Unit,601158,Fully-functional,Ortum Mission Hospital,40513,KMHFR via openAFRICA (2020 extract)
WEST POKOT,Pokot South,Pokot South,Batei,Kerelwa Community Health Unit,601157,Fully-functional,Ortum Mission Hospital,40513,KMHFR via openAFRICA (2020 extract)
KWALE,Kinango,Kinango,Mackinon Road,Kilibasi Community Health Unit,602789,Fully-functional,Kilibasi Dispensary,41365,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Vanga,Sega Community Health Unit,601866,Fully-functional,Lungalunga Subcounty Hospital,40483,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Vanga,Kaya Community Health Unit,601855,Fully-functional,Lungalunga Subcounty Hospital,40695,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Vanga,Gonja Community Health Unit,601854,Fully-functional,Lungalunga Subcounty Hospital,40575,KMHFR via openAFRICA (2020 extract)
KWALE,Matuga,Matuga,Waangombeni,Mtamazide Community Health Unit,601810,Fully-functional,Ng'ombeni Dispensary,40483,KMHFR via openAFRICA (2020 extract)
KWALE,Matuga,Matuga,Waangombeni,Four Ms Ngombeni1 Community Health Unit,601806,Fully-functional,Ng'ombeni Dispensary,40483,KMHFR via openAFRICA (2020 extract)
ISIOLO,Garbatulla,Isiolo South,Kinna,Kulamawe Community Health Unit,602465,semi-functional,Kula Mawe Dispensary,41306,KMHFR via openAFRICA (2020 extract)
WAJIR,Wajir West,Wajir West,Hadado/Athibohol,Athibohol Community Health Unit,601742,Fully-functional,Athibohol Dispensary,40603,KMHFR via openAFRICA (2020 extract)
GARISSA,Dadaab,Daadab,Abakaile,Saretho Community Health Unit,602656,Fully-functional,Saretho Health Centre,41355,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Laisamis,Merile Community Health Unit,602970,semi-functional,Merille Health centre,41513,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Dzombo,Morning Star Community Health Unit,601860,Fully-functional,Mwananyamala (CDF) Dispensary,40817,KMHFR via openAFRICA (2020 extract)
KILIFI,Ganze,Ganze,Sokoke,Dzikunze Community Health Unit,601763,Fully-functional,Dzikunze Dispensary,39965,KMHFR via openAFRICA (2020 extract)
ISIOLO,Garbatulla,Isiolo South,Sericho,Iresaboru Community Health Unit,602463,semi-functional,Iresaboru Dispensary,41306,KMHFR via openAFRICA (2020 extract)
WAJIR,Wajir North,Wajir North,Danaba,Quadam Community Health Unit,601737,Fully-functional,Qudama Dispensary,40725,KMHFR via openAFRICA (2020 extract)
KILIFI,Rabai,Rabai,Mwawesa,Kanyumbuni Community Health Unit,601748,Fully-functional,Bwagamoyo Dispensary,39934,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Sabena,Gurufa Community Health Unit,602661,Fully-functional,Gurufa Dispensary,40452,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Dzombo,Majimoto Community Health Unit,601857,Fully-functional,Majimoto Dispensary,41072,KMHFR via openAFRICA (2020 extract)
KWALE,Matuga,Matuga,Mkongani,Mkomba Community Health Unit,601809,Fully-functional,Mkongani Health Centre,39965,KMHFR via openAFRICA (2020 extract)
KILIFI,Kilifi South,Kilifi South,Mwarakaya,Kizingo South Community Health Unit,601771,Fully-functional,Kizingo Health Centre,40057,KMHFR via openAFRICA (2020 extract)
KILIFI,Kilifi South,Kilifi South,Mwarakaya,Kizingo North Community Health Unit,601770,Fully-functional,Kizingo Health Centre,40057,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Garsen,Garsen,Garsen West,Garsen Community Health Unit,601884,Fully-functional,Garsen Health Centre,39264,KMHFR via openAFRICA (2020 extract)
KILIFI,Kilifi South,Kilifi South,Chasimba,Chasimba Community Health Unit,602560,Fully-functional,Chasimba Health Centre,41061,KMHFR via openAFRICA (2020 extract)
WAJIR,Wajir East,Wajir East,Khorof/Harar,Khorof Harar Community Health Unit,601721,non-functinoal,Khorof Harar Sub-District Hospital,40603,KMHFR via openAFRICA (2020 extract)
ISIOLO,Garbatulla,Isiolo South,Garba Tulla,Gafarsa Community Health Unit,602277,semi-functional,Garbatulla District Hospital,40544,KMHFR via openAFRICA (2020 extract)
ISIOLO,Garbatulla,Isiolo South,Garba Tulla,Garbatulla North Community Health Unit,602464,semi-functional,Garbatulla District Hospital,41306,KMHFR via openAFRICA (2020 extract)
GARISSA,Dadaab,Daadab,Dadaab,Daidai Community Health Unit,602664,semi-functional,Dadaab Sub-County Hospital,41306,KMHFR via openAFRICA (2020 extract)
GARISSA,Dadaab,Daadab,Dadaab,Banan Community Health Unit,602663,semi-functional,Dadaab Sub-County Hospital,41306,KMHFR via openAFRICA (2020 extract)
GARISSA,Ijara,Ijara,Masalani,Mohamed Dahir Community Health Unit,602654,Fully-functional,Ijara Sub County Hospital - Masalani,41309,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Modogashe,Kulan Community Health Unit,602658,Fully-functional,Modogashe Hospital,40452,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Modogashe,Digis Community Health Unit,602648,Fully-functional,Modogashe Hospital,40452,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Ramisi,Vingujini Community Health Unit,601869,semi-functional,Msambweni County Referral Hospital,40980,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Ramisi,Milalani Community Health Unit,601859,semi-functional,Msambweni County Referral Hospital,40951,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Ramisi,Kingwede Community Health Unit,601856,Fully-functional,Msambweni County Referral Hospital,41011,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Ramisi,Mwena Community Health Unit,602758,Fully-functional,Msambweni County Referral Hospital,41091,KMHFR via openAFRICA (2020 extract)
KILIFI,Kaloleni,Kaloleni,Mariakani,Madzimbani Community Health Unit,601750,Fully-functional,Mariakani District Hospital,40391,KMHFR via openAFRICA (2020 extract)
KWALE,Matuga,Matuga,Tsimba Golini,Chitsanse Community Health Unit,602266,semi-functional,Kwale District Hospital,41072,KMHFR via openAFRICA (2020 extract)
ISIOLO,Garbatulla,Isiolo South,Kinna,Kinna South Community Health Unit,602354,semi-functional,Kinna Health Centre,41091,KMHFR via openAFRICA (2020 extract)
ISIOLO,Garbatulla,Isiolo South,Kinna,Kinna North Community Health Unit,602313,semi-functional,Kinna Health Centre,41091,KMHFR via openAFRICA (2020 extract)
WAJIR,Wajir West,Wajir West,Arbajahan,Arbajahan Community Health Unit,601741,Fully-functional,Arbajahan Health Centre,40695,KMHFR via openAFRICA (2020 extract)
KILIFI,Magarini,Magarini,Gongoni,Gongoni Community Health Unit,601823,Fully-functional,Gongoni Health Centre,40951,KMHFR via openAFRICA (2020 extract)
LAMU,Lamu West,Lamu West,Hindi,Mokowe Community Health Unit,601816,non-functinoal,Mokowe Health Centre,2010,KMHFR via openAFRICA (2020 extract)
WAJIR,Wajir North,Wajir North,Danaba,Ajawa Community Health Unit,602337,semi-functional,Ajawa Health Centre,40664,KMHFR via openAFRICA (2020 extract)
KWALE,Matuga,Matuga,Tiwi,Mwachema Community Health Unit,601811,Fully-functional,Tiwi RHTC,40951,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Garsen,Garsen,Kipini East,Matangeni Community Health Unit,601885,Fully-functional,Kipini Health Centre,40026,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Voi,Voi,Marungu,Marungu Community Health Unit,602840,Fully-functional,Maungu Model Health Centre,40551,KMHFR via openAFRICA (2020 extract)
NAROK,Transmara East,Emurua Dikirr,Kapsasian,Kapsasian Community Health Unit,602334,semi-functional,Kapsasian Dispensary,40057,KMHFR via openAFRICA (2020 extract)
WEST POKOT,West Pokot,Kapenguria,Mnagei,Psigirio Community Health Unit,601255,Fully-functional,Keringet Health Centre,39995,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Kaputir,Kaputir Community Health Unit,602890,Fully-functional,Kaputir Dispensary,41275,KMHFR via openAFRICA (2020 extract)
WEST POKOT,Pokot Central,Sigor,Wei Wei,Kitoyo Community Health Unit,601149,non-functinoal,Tamkal Dispensary,39814,KMHFR via openAFRICA (2020 extract)
WEST POKOT,West Pokot,Kapenguria,Riwo,Kanyarkwat Katikomor Community Health Unit,601248,non-functinoal,Kanyarkwat Dispensary,40575,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Katilu,Kalemungorok Community Health Unit,602889,Fully-functional,Kalemungorok Dispensary,41275,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Lobokat,Kainuk Community Health Unit,601221,Fully-functional,Kainuk Health Centre,41061,KMHFR via openAFRICA (2020 extract)
WEST POKOT,West Pokot,Kapenguria,Siyoi,Paraywa Kapchilla Community Health Unit,601253,non-functinoal,Kaibos Dipensary,40603,KMHFR via openAFRICA (2020 extract)
WEST POKOT,West Pokot,Kapenguria,Siyoi,Keringet Community Health Unit,601249,non-functinoal,Kaibos Dipensary,40575,KMHFR via openAFRICA (2020 extract)
NAROK,Transmara East,Emurua Dikirr,Iikerin,Kurangurik Community Health Unit,602192,Fully-functional,Kurangurik Health centre,39995,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana East,Turkana East,Katilia,Elelea Community Health Unit,602721,Fully-functional,Elelea Health Centre,41487,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,Nyiro,South Horr Community Health Unit,602833,Fully-functional,South Horr health Centre,41532,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Wamba North,Swari Community Health Unit,601169,non-functinoal,Swari Model Health Centre,41061,KMHFR via openAFRICA (2020 extract)
WEST POKOT,West Pokot,Kapenguria,Sook,Tamough Community Health Unit,601261,Fully-functional,Tamough Health Centre,40087,KMHFR via openAFRICA (2020 extract)
WEST POKOT,Pokot South,Pokot South,Tapach,Kamelei Community Health Unit,602336,semi-functional,Tapach Dispensary,39814,KMHFR via openAFRICA (2020 extract)
LAMU,Lamu West,Lamu West,Hindi,Godo Community Health Unit,601853,Fully-functional,Hindi Prison Dispensary,40848,KMHFR via openAFRICA (2020 extract)
KWALE,Matuga,Matuga,Tsimba Golini,Mazumalume Community Health Unit,601808,Fully-functional,Mazumalume Dispensary,40026,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Kinondo,Muhaka Community Health Unit,601862,Fully-functional,Muhaka Dispensary,39904,KMHFR via openAFRICA (2020 extract)
WAJIR,Tarbaj,Tarbaj,Sarman,Dambas Community Health Unit,601719,Fully-functional,Dambas Health Centre,39873,KMHFR via openAFRICA (2020 extract)
KWALE,Kinango,Kinango,Mwavumbo,Mwabila Community Health Unit,601803,Fully-functional,Mwabila Dispensary,40026,KMHFR via openAFRICA (2020 extract)
KWALE,Kinango,Kinango,Ndavaya,Ndavaya Community Health Unit,602307,semi-functional,Ndavaya Health centre,40787,KMHFR via openAFRICA (2020 extract)
KWALE,Kinango,Kinango,Mackinon Road,Vinyunduni Community Health Unit,602786,Fully-functional,Makamini Dispensary,40969,KMHFR via openAFRICA (2020 extract)
KWALE,Kinango,Kinango,Mackinon Road,Makamini Community Health Unit,602785,Fully-functional,Makamini Dispensary,41334,KMHFR via openAFRICA (2020 extract)
KWALE,Kinango,Kinango,Mackinon Road,Macknnon Road Community Health Unit,602788,Fully-functional,Mackinon Road Dispensary,41153,KMHFR via openAFRICA (2020 extract)
KILIFI,Magarini,Magarini,Garashi,Bura Community Health Unit,601820,Fully-functional,Dagamra Dispensary,40452,KMHFR via openAFRICA (2020 extract)
WAJIR,Wajir West,Wajir West,Ganyure/Wagalla,Shanta-abaq Community Health Unit,601744,Fully-functional,Tulatula Dispensary,40603,KMHFR via openAFRICA (2020 extract)
KILIFI,Rabai,Rabai,Kambe/Ribe,Jeuri Community Health Unit,602568,Fully-functional,Lenga Dispensary,39569,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Taveta,Taveta,Mata,Ndilidu Community Health Unit,601910,semi-functional,Ndilidau Dispensary (Jipe),40057,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Mwatate,Mwatate,Ronge,Mwambirwa Community Health Unit,602573,Fully-functional,Mwambirwa Dispensary,41091,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Mwatate,Mwatate,Ronge,Mururu Manganga Community Health Unit,602836,Fully-functional,Mwambirwa Dispensary,39264,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Voi,Voi,Marungu,Murungu Community Health Unit,601875,Fully-functional,Marungu Health Centre,40787,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Taveta,Taveta,Mata,Mata Community Health Unit,602576,Fully-functional,Mata Dispensary (Taveta),39965,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Wundanyi,Wundanyi,Wumingu/Kishushe,Kishushe Community Health Unit,602575,Fully-functional,Kishushe Dispensary,41061,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Taveta,Taveta,Mboghoni,Kitobo Community Health Unit,601908,semi-functional,Kitobo Dispensary (Taveta),40787,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Kinakomba,Majengo Community Health Unit,601897,Fully-functional,Majengo Dispensary (Tana River),40817,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Chewani,Chewani Community Health Unit,601890,Fully-functional,Chewani Dispensary,40787,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Chewani,Makere Community Health Unit,601898,semi-functional,Makere Dispensary,39264,KMHFR via openAFRICA (2020 extract)
NAROK,Narok East,Narok East,Ildamat,Oletukat Community Health Unit,601107,non-functinoal,Oletukat Dispensary,39904,KMHFR via openAFRICA (2020 extract)
WEST POKOT,West Pokot,Kapenguria,Sook,Sook Community Health Unit,601260,non-functinoal,Chepnyal Dispensary,40238,KMHFR via openAFRICA (2020 extract)
NAROK,Narok South,Narok South,Loita,Morijo Loita Community Health Unit,602231,non-functinoal,Morijo Loita Health Centre,40299,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kang'atotha,Namukuse Community Health Unit,602905,Fully-functional,Namukuse Dispensary,41244,KMHFR via openAFRICA (2020 extract)
NAROK,Narok West,Narok West,Siana,Olkinyei Community Health Unit,601130,non-functinoal,Olkinyei Dispensary,40575,KMHFR via openAFRICA (2020 extract)
NAROK,Narok North,Narok North,Nkareta,Nkareta Community Health Unit,601105,semi-functional,Nkareta Dispensary,39845,KMHFR via openAFRICA (2020 extract)
NAROK,Narok West,Narok West,Siana,Sekenani Community Health Unit,601135,non-functinoal,Sekenani Health Centre,40452,KMHFR via openAFRICA (2020 extract)
NAROK,Narok West,Narok West,Siana,Megwara Community Health Unit,601124,Fully-functional,Megwara Dispensary,40452,KMHFR via openAFRICA (2020 extract)
NAROK,Narok North,Narok North,Nkareta,Naisoya Community Health Unit,601104,Fully-functional,Naisoya Dispensary,40603,KMHFR via openAFRICA (2020 extract)
NAROK,Transmara West,Kilgoris,Shankoe,Shankoe Community Health Unit,601195,Fully-functional,Shankoe Dispensary,40909,KMHFR via openAFRICA (2020 extract)
WAJIR,Wajir East,Wajir East,Khorof/Harar,Wajir Bor Community Health Unit,601727,Fully-functional,Wajir Bor Health Centre,39873,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Gambato Bongwe,Gombato Community Health Unit,602177,Fully-functional,Gombato Dispensary (CDF),40513,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Gambato Bongwe,Godo Community Health Unit,602752,Closed,Gombato Dispensary (CDF),41091,KMHFR via openAFRICA (2020 extract)
WAJIR,Wajir South,Wajir South,Benane,Biyamalhow Community Health Unit,601712,semi-functional,Biyamadhow Health Centre,40787,KMHFR via openAFRICA (2020 extract)
LAMU,Lamu East,Lamu East,Faza,Kizingitini Community Health Unit,602314,semi-functional,Kizingitini Dispensary,39448,KMHFR via openAFRICA (2020 extract)
LAMU,Lamu East,Lamu East,Faza,Kiunga Community Health Unit,602259,semi-functional,Kizingitini Dispensary,39934,KMHFR via openAFRICA (2020 extract)
